age,height,weight,gender,likeness
20,150,48,Female,Biryani
22,176,53,Male,Biryani
22,171,64,Male,Samosa
20,140,60,Female,Biryani
27,164,59,Female,Biryani
27,179,96,Male,Biryani
35,176,64,Male,Samosa
27,179,68,Male,Biryani
38,163,72.2,Male,Pakora
25,166,66,Male,Biryani
36,182,68,Male,Pakora
20,155,48,Male,Biryani
30,161,50,Female,Biryani
24,160,60,Male,Biryani
22,182,50,Male,Samosa
27,165,63,Male,Biryani
31,160,60,Male,Pakora
26,172,70,Male,Biryani
40,178,80,Male,Biryani
25,173,65,Male,Biryani
33,157,56,Female,Samosa
